"Year","Industry","A","L","E","NI","CFO","Lagged.Assets","Rev","Lagged.Rev","Rec","Lagged.Rec","PPE","TA","X.Rev","X.Rec","X..Revit....Recit.","TA_scaled","inv_Asset.x","rev_rec.x","ppe_scaled.x","BZ","Gwth","Lev","TANG","Years.of.Est","Age","SIG","AudFee","Audit.Firm.Tenure","AudTenure","AudRotation","(Intercept)","inv_Asset.y","rev_rec.y","ppe_scaled.y","NDA","DA.x","ADA.x","DA.y","ADA.y"
2013,"Access Bank",1704094012,1458912014,245181998,26211844,-80507219,1515754463,50463,180672,748349,557647,63203,-54295375,-130209,190702,-320911,-0.0358206928136223,6.59737460393676e-10,-0.000211717008152395,4.16973867092615e-05,12.1044385116132,-0.720692747077577,0.856121788895764,0.0366355492283703,24,3.17805383034795,1.1242,21.3305642371665,1,0,0,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947481578394,-0.106415440971462,0.106415440971462,-0.106415440971462,0.106415440971462
2014,"Access Bank",1981955730,1707799944,274155786,39941126,-291257104,1704094012,215210,50463,1075686,748349,64160,-251315978,164747,327337,-162590,-0.147477766033016,5.86822084320545e-10,-9.54114026896774e-05,3.76505049300062e-05,10.8289956734599,3.264708796544,0.861674112165966,0.0331025528701002,25,3.2188758248682,1.1242,21.4672774759819,2,0.693147180559945,0,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947121159721,-0.218072478148988,0.218072478148988,-0.218072478148988,0.218072478148988
2015,"Access Bank",2411944061,2051515157,360428904,58924745,-181246613,1981955730,322061,215210,1303630,1075686,65900,-122321868,106851,227944,-121093,-0.0617177599622773,5.04552137499055e-10,-6.10977319861731e-05,3.32499858611877e-05,12.2793695745916,0.496496445332466,0.850564982070702,0.0283001440609597,26,3.25809653802148,1.1242,21.6753677484223,3,1.09861228866811,0,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947064335702,-0.132312466395847,0.132312466395847,-0.132312466395847,0.132312466395847
2016,"Access Bank",3094960515,2673281895,421678620,64026135,-124135578,2411944061,331001,322061,1698569,1303630,71824,-60109443,8940,394939,-385999,-0.0249215742487321,4.14603313637961e-10,-0.000160036464460939,2.97784683987329e-05,12.6824962475787,0.0277587165164363,0.863753150337041,0.0241434257685031,27,3.29583686600433,1.1242,21.9713679137706,4,1.38629436111989,0,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947280935029,-0.095516302342235,0.095516302342235,-0.095516302342235,0.095516302342235
2017,"Access Bank",3499638979,3030192882,469491097,53238822,104360680,3094960515,398162,331001,1872712,1698569,83677,-51121858,67161,174143,-106982,-0.0165177738947665,3.23105899139395e-10,-3.45665153017308e-05,2.70365323222872e-05,12.7098766755027,0.202902710263715,0.865858707193237,0.0236735474376429,28,3.3322045101752,1.1242,22.134799690359,5,1.6094379124341,1,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947035208938,-0.0871124774156603,0.0871124774156603,-0.0871124774156603,0.0871124774156603
2018,"Access Bank",3968114609,3527314852,440799757,73596295,366002389,3499638979,435743,398162,1782755,1872712,88393,-292406094,37581,-89957,-52376,-0.083553216704528,2.85743759856551e-10,-1.49661151662467e-05,2.52577481650001e-05,12.8946142366261,0.0943862046101838,0.888914560078423,0.0209256025389158,29,3.36729582998647,1.1242,22.323492846559,6,1.79175946922805,1,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947024570142,-0.154147919161542,0.154147919161542,-0.154147919161542,0.154147919161542
2019,"Access Bank",6311041282,5768100178,542941104,735569054,1094573265,3968114609,572060.174,435743,2646036.672,1782755,188635,-359004211,136317.174,863281.672,-726964.498,-0.0904722384242002,2.52008850180869e-10,-0.000183201487263293,4.75376894538683e-05,12.9848078989962,0.312838471300744,0.913969647837902,0.0295544648042362,30,3.40119738166216,1.1242,22.6899039756343,7,1.94591014905531,1,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947374176926,-0.161066975841893,0.161066975841893,-0.161066975841893,0.161066975841893
2020,"Access Bank",7624979724,6971084063,653895661,80039328,-65407286,6311041282,634863.768,572060.174,3050664.007,2646036.672,191893,14632042,62803.594,404627.335,-341823.741,0.00231848301194491,1.58452457418104e-10,-5.41628117652995e-05,3.04059174113322e-05,13.2569994641296,0.109784943707688,0.914242963959389,0.0260927749817775,31,3.43398720448515,1.1242,22.8842582999889,8,2.07944154167984,1,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947054532057,-0.0682762224412608,0.0682762224412608,-0.0682762224412608,0.0682762224412608
2021,"Access Bank",9660760556,8789310442,871450114,111326487,500834811,7624979724,734281,634863.768,3578332,3050664.007,194070.95,-389508324,99417.232,527667.993,-428250.761,-0.0510831947229975,1.31147889725195e-10,-5.61641835783588e-05,2.54519955494638e-05,13.3611657162755,0.156596165998246,0.909794874953321,0.0211161234765526,32,3.46573590279973,1.1242,23.1855829984561,9,2.19722457733622,1,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947053972954,-0.121677900120293,0.121677900120293,-0.121677900120293,0.121677900120293
2022,"Access Bank",12535280000,11466613000,1068667000,166660000,698528000,9660760556,1114734,734281,4406962,3578332,245070,-531868000,380453,828630,-448177,-0.0550544645959239,1.03511519015853e-10,-4.63914820579681e-05,2.53675679652152e-05,13.506647068122,0.518129980211935,0.914747257340881,0.0209256025389158,33,3.49650756146648,0.6278,23.4294682653009,10,2.30258509299405,1,0.0705947015950758,-58929823.2228582,-473.139415759685,-4646.80255950644,0.0705947043907589,-0.125649168986683,0.125649168986683,-0.125649168986683,0.125649168986683
